,file_name,category,duration,sample_rate,num_channels
0,/content/lang5000/english/common_voice_en_37285746.mp3,english,3.348,32000,1
1,/content/lang5000/english/common_voice_en_37285766.mp3,english,5.652,32000,1
2,/content/lang5000/english/common_voice_en_37287284.mp3,english,2.916,32000,1
3,/content/lang5000/english/common_voice_en_37288125.mp3,english,6.336,32000,1
4,/content/lang5000/english/common_voice_en_37288127.mp3,english,3.78,32000,1
5,/content/lang5000/english/common_voice_en_37288144.mp3,english,5.328,32000,1
6,/content/lang5000/english/common_voice_en_37288184.mp3,english,3.168,32000,1
7,/content/lang5000/english/common_voice_en_37288188.mp3,english,3.528,32000,1
8,/content/lang5000/english/common_voice_en_37288203.mp3,english,2.556,32000,1
9,/content/lang5000/english/common_voice_en_37288240.mp3,english,7.668,32000,1
10,/content/lang5000/english/common_voice_en_37288275.mp3,english,6.12,32000,1
11,/content/lang5000/english/common_voice_en_37289093.mp3,english,6.408,32000,1
12,/content/lang5000/english/common_voice_en_37289099.mp3,english,7.02,32000,1
13,/content/lang5000/english/common_voice_en_37289142.mp3,english,7.308,32000,1
14,/content/lang5000/english/common_voice_en_37289158.mp3,english,9.828,32000,1
15,/content/lang5000/english/common_voice_en_37289162.mp3,english,7.128,32000,1
16,/content/lang5000/english/common_voice_en_37289209.mp3,english,8.82,32000,1
17,/content/lang5000/english/common_voice_en_37289223.mp3,english,3.78,32000,1
18,/content/lang5000/english/common_voice_en_37289246.mp3,english,7.128,32000,1
19,/content/lang5000/english/common_voice_en_37289247.mp3,english,6.516,32000,1
20,/content/lang5000/english/common_voice_en_37289261.mp3,english,7.596,32000,1
21,/content/lang5000/english/common_voice_en_37289485.mp3,english,6.48,32000,1
22,/content/lang5000/english/common_voice_en_37289495.mp3,english,4.14,32000,1
23,/content/lang5000/english/common_voice_en_37289582.mp3,english,6.336,32000,1
24,/content/lang5000/english/common_voice_en_37289627.mp3,english,7.056,32000,1
25,/content/lang5000/english/common_voice_en_37289649.mp3,english,4.32,32000,1
26,/content/lang5000/english/common_voice_en_37289667.mp3,english,4.068,32000,1
27,/content/lang5000/english/common_voice_en_37289723.mp3,english,3.888,32000,1
28,/content/lang5000/english/common_voice_en_37289734.mp3,english,4.356,32000,1
29,/content/lang5000/english/common_voice_en_37289746.mp3,english,4.248,32000,1
30,/content/lang5000/english/common_voice_en_37289748.mp3,english,9.648,32000,1
31,/content/lang5000/english/common_voice_en_37289762.mp3,english,3.42,32000,1
32,/content/lang5000/english/common_voice_en_37289767.mp3,english,4.608,32000,1
33,/content/lang5000/english/common_voice_en_37289775.mp3,english,3.888,32000,1
34,/content/lang5000/english/common_voice_en_37289780.mp3,english,3.348,32000,1
35,/content/lang5000/english/common_voice_en_37289782.mp3,english,6.876,32000,1
36,/content/lang5000/english/common_voice_en_37289783.mp3,english,6.12,32000,1
37,/content/lang5000/english/common_voice_en_37289823.mp3,english,4.608,32000,1
38,/content/lang5000/english/common_voice_en_37289857.mp3,english,3.6,32000,1
39,/content/lang5000/english/common_voice_en_37289865.mp3,english,3.168,32000,1
40,/content/lang5000/english/common_voice_en_37289874.mp3,english,3.24,32000,1
41,/content/lang5000/english/common_voice_en_37289896.mp3,english,6.876,32000,1
42,/content/lang5000/english/common_voice_en_37289901.mp3,english,4.716,32000,1
43,/content/lang5000/english/common_voice_en_37289931.mp3,english,5.58,32000,1
44,/content/lang5000/english/common_voice_en_37289936.mp3,english,4.068,32000,1
45,/content/lang5000/english/common_voice_en_37289964.mp3,english,7.92,32000,1
46,/content/lang5000/english/common_voice_en_37289980.mp3,english,7.776,32000,1
47,/content/lang5000/english/common_voice_en_37290005.mp3,english,7.488,32000,1
48,/content/lang5000/english/common_voice_en_37290145.mp3,english,4.356,32000,1
49,/content/lang5000/english/common_voice_en_37290154.mp3,english,10.44,32000,1
50,/content/lang5000/english/common_voice_en_37290155.mp3,english,5.22,32000,1
51,/content/lang5000/english/common_voice_en_37290158.mp3,english,9.288,32000,1
52,/content/lang5000/english/common_voice_en_37290164.mp3,english,9.756,32000,1
53,/content/lang5000/english/common_voice_en_37290178.mp3,english,10.188,32000,1
54,/content/lang5000/english/common_voice_en_37290187.mp3,english,5.796,32000,1
55,/content/lang5000/english/common_voice_en_37290213.mp3,english,4.608,32000,1
56,/content/lang5000/english/common_voice_en_37290222.mp3,english,5.58,32000,1
57,/content/lang5000/english/common_voice_en_37290275.mp3,english,6.12,32000,1
